genre,dtg,mpaa,releasedate,budget,runtime,title
Sci-Fi Fantasy,936662225,PG-13,2015-12-18 00:00:00,245000000,136,Star Wars: The Force Awakens
Sci-Fi Horror,652270625,PG-13,2015-06-12 00:00:00,150000000,124,Jurassic World
Action,353007020,PG-13,2015-04-03 00:00:00,190000000,137,Furious 7
Action / Adventure,459005868,PG-13,2015-05-01 00:00:00,250000000,141,Avengers: Age of Ultron
Animation,336045770,PG,2015-07-10 00:00:00,74000000,91,Minions
Action,200074609,PG-13,2015-11-06 00:00:00,245000000,148,Spectre
Animation,356461711,PG,2015-06-19 00:00:00,175000000,94,Inside Out
Action,195042377,PG-13,2015-07-31 00:00:00,150000000,130,Mission: Impossible - Rogue Nation
Action / Adventure,281723902,PG-13,2015-11-20 00:00:00,160000000,137,The Hunger Games: Mockingjay - Part 2
Sci-Fi,228433663,PG-13,2015-10-02 00:00:00,108000000,141,The Martian
Romance,166167230,R,2015-02-13 00:00:00,40000000,125,Fifty Shades of Grey
Fantasy,201151353,PG,2015-03-13 00:00:00,95000000,112,Cinderella
Action / Adventure,183637894,R,2015-12-25 00:00:00,135000000,151,The Revenant
Action / Adventure,180202163,PG-13,2015-07-17 00:00:00,130000000,117,Ant-Man
Action,155190832,PG-13,2015-05-29 00:00:00,110000000,114,San Andreas
Animation,169700110,PG,2015-09-25 00:00:00,80000000,89,Hotel Transylvania 2
Action,89760956,PG-13,2015-07-01 00:00:00,155000000,126,Terminator: Genisys
Action / Adventure,128261724,R,2015-02-13 00:00:00,81000000,129,Kingsman: The Secret Service
Animation,177397510,PG,2015-03-27 00:00:00,135000000,94,Home
Sci-Fi Action,153636354,R,2015-05-15 00:00:00,150000000,120,Mad Max: Fury Road
Animation,123087120,PG,2015-11-25 00:00:00,nan,100,The Good Dinosaur
Action,89256424,PG-13,2015-01-09 00:00:00,48000000,109,Taken 3
Animation,162994032,PG,2015-02-06 00:00:00,74000000,93,The SpongeBob Movie: Sponge Out of Water
Action / Adventure,81697192,PG-13,2015-09-18 00:00:00,61000000,131,Maze Runner: The Scorch Trials
Action / Adventure,130179072,PG-13,2015-03-20 00:00:00,110000000,119,The Divergent Series: Insurgent
Family,76271832,PG,2015-01-16 00:00:00,55000000,95,Paddington
Comedy,184296230,PG-13,2015-05-15 00:00:00,29000000,115,Pitch Perfect 2
Action / Adventure,1243810,Unrated,2015-12-18 00:00:00,37000000,127,Mojin: The Lost Legend
Comedy,1302281,Unrated,2015-09-25 00:00:00,nan,113,Lost in Hong Kong
Animation,130178411,G,2015-11-06 00:00:00,99000000,93,The Peanuts Movie
Action Comedy,78747585,PG-13,2015-07-24 00:00:00,88000000,105,Pixels
Comedy,150357137,PG-13,2015-12-25 00:00:00,nan,96,Daddy's Home
Comedy,110825712,R,2015-06-05 00:00:00,65000000,120,Spy
Family Comedy,85886987,PG,2015-12-18 00:00:00,nan,86,Alvin and the Chipmunks: The Road Chip
Comedy,1293626,Unrated,2015-10-09 00:00:00,nan,104,Goodbye Mr. Loser
Comedy,81476385,R,2015-06-26 00:00:00,68000000,115,Ted 2
Sci-Fi,93436322,PG,2015-05-22 00:00:00,190000000,130,Tomorrowland
Thriller,43482270,PG-13,2015-09-18 00:00:00,55000000,121,Everest
Drama,161197785,R,2015-08-14 00:00:00,28000000,147,Straight Outta Compton
